klinik,haus,standort_im_betrieb,gewerk_rv,gewerk_info,eq,turnus_jahre,einzelpreis_eur,anteil_jahr_eur,in_scope_elektro,kommentar
Allensbach,Bodan,Haus Bodan groß,Aufzugsanlagen,Personenaufzug,1333863,1,382,382,nein,
Allensbach,Säntis,Haus Arlberg,Aufzugsanlagen,Personenaufzug,1388121,1,382,382,nein,
Allensbach,Bodan,Haus Bodan klein,Aufzugsanlagen,Personenaufzug,1395761,1,382,382,nein,
Allensbach,Bodan,Haus Bodan klein,Aufzugsanlagen AwSV,Personenaufzug,1395761,2.5,1026,411,nein,
Allensbach,Höri,Haus Höri klein,Aufzugsanlagen,Personenaufzug,1395791,1,382,382,nein,
Allensbach,Höri,Haus Höri klein,Aufzugsanlagen AwSV,Personenaufzug,1395791,2.5,1026,411,nein,
Allensbach,Säntis,Haus Säntis groß,Aufzugsanlagen,Personenaufzug,1395808,1,382,382,nein,
Allensbach,Säntis,Haus Säntis klein,Aufzugsanlagen,Personenaufzug,1395825,1,382,382,nein,
Allensbach,Thurgau,Haus Thurgau,Aufzugsanlagen,Personenaufzug,1395839,1,382,382,nein,
Allensbach,Mainau,"Haus Mainau, Lasten groß",Aufzugsanlagen,Personenaufzug,1395854,1,382,382,nein,
Allensbach,Mainau,Haus Mainau klein,Aufzugsanlagen,Personenaufzug,1395869,1,382,382,nein,
Allensbach,Säntis,"Haus Säntis, Anbau West",Aufzugsanlagen,Personenaufzug,1402118,1,382,382,nein,
Allensbach,Höri,Hau Höri / Werkstatt,Aufzugsanlagen,Personenaufzug,1426818,1,382,382,nein,
Allensbach,Lindau,Haus Lindau groß,Aufzugsanlagen,Personenaufzug,1446632,1,382,382,nein,
Allensbach,Lindau,Haus Lindau klein,Aufzugsanlagen,Personenaufzug,1446642,1,382,382,nein,
Allensbach,Davos,Haus Davos,Aufzugsanlagen,Personenaufzug,2560471,1,382,382,nein,
Allensbach,Säntis,Haus Säntis Druckluftzentrale,Druckgerät,Druckluftbehälter,2643532,5,720,144,nein,
Allensbach,Säntis,Haus Säntis Druckluftzentrale,Druckanlage,Druckanlage zu EQ 2643532 + 1910278,2643533,5,138,28,nein,Ab 2025: Preis inkl. Abfrage Cybersicherheit-Doku
Allensbach,Säntis,Haus Säntis Druckluftzentrale,Druckbehälter,Druckbehälter,1910278,5,720,144,nein,
Allensbach,Bodan,Haus Bodan Nordseite Erdtank,Heizölverb,Heizölverb,1088144,2.5,321,128,nein,
Allensbach,Thurgau,Haus Thurgau,Kraftbetät. Tor,Rollgittertor,2063103,1,197,197,nein,
Allensbach,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,1268824,4,5880,1470,ja,
Allensbach,Lindau/Davos/Thurgau,Treppenräume Lindau/Davos/Thurgau (6 Anlagen),Nat.Rauchabzug,Nat.Rauchabzug,2508630,3,2184,728,nein,
Allensbach,Bodan,Bodan,Brandmeldeanlage,BMA,3127515,3,1414,471,nein,Prüfung gemäß Baurecht
Allensbach,Bodan,Bodan,Sicherheitsbeleuchtung,SiBe,2650790,3,1218,406,nein,Prüfung gemäß Baurecht
Allensbach,Davos,Davos,Brandmeldeanlage,BMA,2445724,3,1414,471,nein,Prüfung gemäß Baurecht
Allensbach,Davos,Davos,Sicherheitsbeleuchtung,SiBe,3225322,3,1218,406,nein,Prüfung gemäß Baurecht
Allensbach,Mainau,Mainau,Brandmeldeanlage,BMA,3249928,3,1665,555,nein,Prüfung gemäß Baurecht
Allensbach,Mainau,Mainau,Sicherheitsbeleuchtung,SiBe,3225324,3,1414,471,nein,Prüfung gemäß Baurecht
Gailingen,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,1267027,4,5445,1361,ja,Master-EQ 1267027 (WK VdS); EQ 3019427 = einmalig Inbetriebnahme
Gailingen,Tirol,Haus Tirol klein,Aufzugsanlagen,Personenaufzug,1405411,1,382,382,nein,
Gailingen,Tirol,Haus Tirol groß,Aufzugsanlagen,Personenaufzug,1405426,1,382,382,nein,
Gailingen,Tirol,Haus Tirol,Aufzugsanlagen,Personenaufzug,1405440,1,382,382,nein,
Gailingen,Württemberg,HAUS WÜRTTEMBERG,Aufzugsanlagen,Personenaufzug,1405500,1,382,382,nein,
Gailingen,Österreich,Haus Österreich,Aufzugsanlagen,Personenaufzug,1405514,1,382,382,nein,
Gailingen,Bayern,HAUS BAYERN,Aufzugsanlagen,Personenaufzug,1405528,1,382,382,nein,
Gailingen,Schwarzwald,Haus Schwarzwald,Aufzugsanlagen,Personenaufzug,1405542,1,382,382,nein,
Gailingen,Baden,Haus Baden,Aufzugsanlagen,Personenaufzug,3126087,1,382,382,nein,
Gailingen,Hohentwiel,,Heizöltank,20.000 l,2956553,5,321,64,nein,
Gailingen,Tirol,Haus Tirol (mit Explosionszünder),Nat.Rauchabzug,Nat.Rauchabzug,2508624,3,759,253,nein,
Gailingen,Baden,Foyer und Speisesaal,Nat.Rauchabzug,Nat.Rauchabzug,3355480,3,1363,454,nein,
Gailingen,Hohentwiel,Energiezentrale UG,Brandschutzklappe,Brandschutzklappe,2894773,3,1810,603,nein,
Gailingen,Baden,Baden,Brandmeldeanlage,BMA,3019424,3,1414,471,nein,Prüfung gemäß Baurecht
Gailingen,Baden,Baden,Sicherheitsbeleuchtung,SiBe,3019426,3,1414,471,nein,Prüfung gemäß Baurecht
Gailingen,Hohentwiel,Energiezentrale UG,Brandmeldeanlage,BMA,2890010,3,820,273,nein,Prüfung gemäß Baurecht
Gailingen,Hohentwiel,Energiezentrale UG,Sicherheitsbeleuchtung,SiBe,2890012,3,580,193,nein,Prüfung gemäß Baurecht
Gerlingen,Gerlingen,im Klinikgebäude,Aufzugsanlagen,Personenaufzug,2135634,1,382,382,nein,
Gerlingen,Gerlingen,"Links, Groß",Aufzugsanlagen,Personenaufzug,1378086,1,382,382,nein,
Gerlingen,Gerlingen,"Rechts, Klein",Aufzugsanlagen,Personenaufzug,1378106,1,382,382,nein,
Gerlingen,S28,Fabrik Nr. 1810011,Aufzugsanlagen,Personenaufzug,2973316,1,382,382,nein,
Gerlingen,S28,Fabrik Nr. 1810012,Aufzugsanlagen,Personenaufzug,2973317,1,382,382,nein,
Gerlingen,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,2122745,4,2129,532,ja,Master-EQ 2122745 (WK VdS); EQ 2798427 = einmalig Inbetriebnahme
Gerlingen,Gerlingen,3 Treppenräume + Aufzugsschacht + Haus Bärensee,Nat.Rauchabzug,Nat.Rauchabzug,3047347,3,3800,1267,nein,
Gerlingen,alle Häuser,Gesamter Standort,Brandmeldeanlage,BMA,3033107,3,3227,1076,nein,Prüfung gemäß Baurecht
Gerlingen,alle Häuser,Gesamter Standort,Sicherheitsbeleuchtung,SiBe,3033105,3,2151,717,nein,Prüfung gemäß Baurecht
Heidelberg,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,1879930,4,5880,1470,ja,Master-EQ 1879930 (WK VdS); EQ 2805355 = einmalig Inbetriebnahme
Heidelberg,Heidelberg,Haus Heidelberg,Aufzugsanlagen,Personenaufzug,1214122,1,382,382,nein,
Heidelberg,Heidelberg,Haus Heidelberg,Aufzugsanlagen,Personenaufzug,1359792,1,382,382,nein,
Heidelberg,Odenwald,Haus Odenwald,Aufzugsanlagen,Personenaufzug,1314965,1,382,382,nein,
Heidelberg,Neckar,Küche,Aufzugsanlagen,Personenaufzug,1214135,1,382,382,nein,
Heidelberg,Odenwald,Haus Odenwald,Aufzugsanlagen,Personenaufzug,1446237,1,382,382,nein,
Heidelberg,Mannheim,Haus Mannheim,Aufzugsanlagen,Personenaufzug,2355357,1,382,382,nein,
Heidelberg,Mannheim,Erweiterung Speyerer Hof,Aufzugsanlagen,Personenaufzug,2760531,1,382,382,nein,
Heidelberg,Technikzentrale,"Haus Odenwald, Technikzentrale",Druckbehälter,Druckbehälter,1911031,5,720,144,nein,
